Pais;Region;Casos totales;Fallecimientos;Recuperados;Casos activos;Casos cerrados;Fecha
Bangladesh;Total;330;21;33;276;54;2020-04-09 11:46:00
Ghana;Total;313;6;34;273;40;2020-04-09 11:46:00
San Marino;Total;308;34;45;229;79;2020-04-09 11:46:00
Kyrgyzstan;Total;280;4;35;241;39;2020-04-09 11:46:00
Nigeria;Total;276;6;44;226;50;2020-04-09 11:46:00
Mauritius;Total;273;7;19;247;26;2020-04-09 11:46:00
Bolivia;Total;264;18;2;244;20;2020-04-09 11:46:00
Palestine;Total;263;1;44;218;45;2020-04-09 11:46:00
Montenegro;Total;252;2;4;246;6;2020-04-09 11:46:00
Vietnam;Total;251;0;128;123;128;2020-04-09 11:46:00
Senegal;Total;244;2;113;129;115;2020-04-09 11:46:00
Georgia;Total;214;3;50;161;53;2020-04-09 11:46:00
Sri Lanka;Total;189;7;47;135;54;2020-04-09 11:46:00
Mayotte;Total;184;2;22;160;24;2020-04-09 11:46:00
Faeroe Islands;Total;184;0;136;48;136;2020-04-09 11:46:00
DRC;Total;180;18;9;153;27;2020-04-09 11:46:00
Kenya;Total;179;6;9;164;15;2020-04-09 11:46:00
Isle of Man;Total;171;1;88;82;89;2020-04-09 11:46:00
Venezuela;Total;167;9;65;93;74;2020-04-09 11:46:00
Guinea;Total;164;0;5;159;5;2020-04-09 11:46:00
Martinique;Total;154;6;50;98;56;2020-04-09 11:46:00
Guadeloupe;Total;141;8;43;90;51;2020-04-09 11:46:00
Brunei;Total;135;1;92;42;93;2020-04-09 11:46:00
Djibouti;Total;135;0;25;110;25;2020-04-09 11:46:00
Paraguay;Total;124;5;18;101;23;2020-04-09 11:46:00
Gibraltar;Total;120;0;60;60;60;2020-04-09 11:46:00
Cambodia;Total;117;0;63;54;63;2020-04-09 11:46:00
Rwanda;Total;110;0;7;103;7;2020-04-09 11:46:00
Trinidad and Tobago;Total;107;8;1;98;9;2020-04-09 11:46:00
El Salvador;Total;103;5;10;88;15;2020-04-09 11:46:00
Madagascar;Total;93;0;11;82;11;2020-04-09 11:46:00
Guatemala;Total;87;3;17;67;20;2020-04-09 11:46:00
French Guiana;Total;83;0;43;40;43;2020-04-09 11:46:00
Monaco;Total;81;1;4;76;5;2020-04-09 11:46:00
Liechtenstein;Total;78;1;55;22;56;2020-04-09 11:46:00
Aruba;Total;77;0;14;63;14;2020-04-09 11:46:00
Togo;Total;70;3;23;44;26;2020-04-09 11:46:00
