Pais;Region;Casos totales;Fallecimientos;Recuperados;Casos activos;Casos cerrados;Fecha
Honduras;Total;264;15;3;246;18;04/04/2020
San Marino;Total;251;32;26;193;58;04/04/2020
Uzbekistan;Total;241;2;25;214;27;04/04/2020
Vietnam;Total;240;0;90;150;90;04/04/2020
Channel Islands;Total;232;5;13;214;18;04/04/2020
Ivory Coast;Total;218;1;19;198;20;04/04/2020
Malta;Total;213;0;2;211;2;04/04/2020
Nigeria;Total;210;4;25;181;29;04/04/2020
Senegal;Total;207;1;66;140;67;04/04/2020
Ghana;Total;205;5;31;169;36;04/04/2020
Palestine;Total;205;1;21;183;22;04/04/2020
Montenegro;Total;197;2;1;194;3;04/04/2020
Mauritius;Total;196;7;0;189;7;04/04/2020
Faeroe Islands;Total;181;0;93;88;93;04/04/2020
Sri Lanka;Total;162;5;25;132;30;04/04/2020
Georgia;Total;157;1;28;128;29;04/04/2020
Venezuela;Total;153;7;52;94;59;04/04/2020
DRC;Total;148;16;3;129;19;04/04/2020
Kyrgyzstan;Total;144;1;9;134;10;04/04/2020
Martinique;Total;143;3;27;113;30;04/04/2020
Bolivia;Total;139;10;1;128;11;04/04/2020
Brunei;Total;135;1;66;68;67;04/04/2020
Guadeloupe;Total;130;7;24;99;31;04/04/2020
Mayotte;Total;128;2;10;116;12;04/04/2020
Kenya;Total;122;4;4;114;8;04/04/2020
Isle of Man;Total;121;1;0;120;1;04/04/2020
Niger;Total;120;5;0;115;5;04/04/2020
Cambodia;Total;114;0;50;64;50;04/04/2020
Trinidad and Tobago;Total;100;6;1;93;7;04/04/2020
Paraguay;Total;96;3;12;81;15;04/04/2020
Gibraltar;Total;95;0;46;49;46;04/04/2020
Rwanda;Total;89;0;0;89;0;04/04/2020
Liechtenstein;Total;75;0;0;75;0;04/04/2020
Guinea;Total;73;0;2;71;2;04/04/2020
Bangladesh;Total;70;8;30;32;38;04/04/2020
Madagascar;Total;70;0;0;70;0;04/04/2020
Monaco;Total;64;1;3;60;4;04/04/2020
Aruba;Total;62;0;1;61;1;04/04/2020
French Guiana;Total;57;0;22;35;22;04/04/2020
El Salvador;Total;56;3;0;53;3;04/04/2020
Jamaica;Total;53;3;7;43;10;04/04/2020
Barbados;Total;51;0;0;51;0;04/04/2020
